,artist,rank,title,url
0,윤종신,1,좋니,https://www.youtube.com/embed/jy_UiIQn_d0
1,헤이즈 (Heize),2,비도 오고 그래서 (Feat. 신용재),https://www.youtube.com/embed/afxLaQiLu-o
2,넉살,3,N분의1 (Feat. 다이나믹듀오),https://www.youtube.com/embed/D7aXRBRMQXg
3,Wanna One (워너원),4,에너제틱 (Energetic),https://www.youtube.com/embed/EVaV7AwqBWg
4,행주,5,"요즘것들 (Feat. ZICO, DEAN)",https://www.youtube.com/embed/sF8Uk3YyT54
5,Red Velvet (레드벨벳),6,빨간 맛 (Red Flavor),https://www.youtube.com/embed/WyiIGEHQP8o
6,황치열,7,매일 듣는 노래 (A Daily Song),https://www.youtube.com/embed/gSQmYh-kpHY
7,BLACKPINK,8,마지막처럼,https://www.youtube.com/embed/Amq-qlqbjYA
8,헤이즈 (Heize),9,널 너무 모르고,https://www.youtube.com/embed/vvkWaI91mLM
9,넉살,10,"부르는게 값이야 (Feat. 개코, 던밀스)",https://www.youtube.com/embed/zCefNdF6qZo
10,지코 (ZICO),11,Artist,https://www.youtube.com/embed/obzb7nlpXZ0
11,볼빨간사춘기,12,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
12,아이유,13,밤편지,https://www.youtube.com/embed/BzYnNdJhZQw
13,Wanna One (워너원),14,활활 (Burn It Up),https://www.youtube.com/embed/XwGqz8BhHho
14,행주,15,SEARCH (Feat. 카더가든),https://www.youtube.com/embed/LzSkjiwVaUs
15,우원재,16,"또 (Feat. Tiger JK, Bizzy, 마샬(MRSHLL))",https://www.youtube.com/embed/bd2q2wH2UQg
16,Ed Sheeran,17,Shape of You,https://www.youtube.com/embed/JGwWNGJdvx8
17,EXO,18,Ko Ko Bop,https://www.youtube.com/embed/IdssuxDdqKk
18,여자친구 (GFRIEND),19,귀를 기울이면 (LOVE WHISPER),https://www.youtube.com/embed/lnXXfYA91Y8
19,킬라그램 (Killagramz),20,"어디 (Feat. DEAN, ZICO)",https://www.youtube.com/embed/MQJMCgijbbI
20,WINNER,21,LOVE ME LOVE ME,https://www.youtube.com/embed/_5B6ymkU5ag
21,마마무,22,나로 말할 것 같으면 (Yes I am),https://www.youtube.com/embed/Ue9NG1hAr78
