,artist,rank,title,url
0,헤이즈 (Heize),1,비도 오고 그래서 (Feat. 신용재),https://www.youtube.com/embed/afxLaQiLu-o
1,헤이즈 (Heize),2,널 너무 모르고,https://www.youtube.com/embed/vvkWaI91mLM
2,BLACKPINK,3,마지막처럼,https://www.youtube.com/embed/Amq-qlqbjYA
3,마마무,4,나로 말할 것 같으면 (Yes I am),https://www.youtube.com/embed/Ue9NG1hAr78
4,볼빨간사춘기,5,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
5,Red Velvet (레드벨벳),6,빨간 맛 (Red Flavor),https://www.youtube.com/embed/WyiIGEHQP8o
6,황치열,7,매일 듣는 노래 (A Daily Song),https://www.youtube.com/embed/gSQmYh-kpHY
7,G-DRAGON,8,"무제(無題) (Untitled, 2014)",https://www.youtube.com/embed/9kaCAbIXuyg
8,볼빨간사춘기,9,처음부터 너와 나,https://www.youtube.com/embed/jYcGHGiFkMo
9,Apink (에이핑크),10,FIVE,https://www.youtube.com/embed/b22Ed7f0D-0
10,Ed Sheeran,11,Shape of You,https://www.youtube.com/embed/JGwWNGJdvx8
11,지코 (ZICO),12,Artist,https://www.youtube.com/embed/obzb7nlpXZ0
12,싸이 (PSY),13,New Face,https://www.youtube.com/embed/OwJPPaEyqhI
13,수란 (SURAN),14,오늘 취하면 (Feat. 창모) (Prod. SUGA),https://www.youtube.com/embed/a3JqIwCx8Cs
14,TWICE (트와이스),15,SIGNAL,https://www.youtube.com/embed/VQtonf1fv_s
15,아이유,16,팔레트 (Feat. G-DRAGON),https://www.youtube.com/embed/d9IxdwEFk1c
16,아이유,17,밤편지,https://www.youtube.com/embed/BzYnNdJhZQw
17,WINNER,18,REALLY REALLY,https://www.youtube.com/embed/4tBnF46ybZk
18,싸이 (PSY),19,I LUV IT,https://www.youtube.com/embed/Xvjnoagk6GU
19,한동근,20,미치고 싶다,https://www.youtube.com/embed/KK-1xrOsqXI
20,청하,21,Why Don`t You Know (Feat. 넉살),https://www.youtube.com/embed/EHgeGRU3wDI
21,국민의 아들,22,NEVER,https://www.youtube.com/embed/_gBWCYKEe2U
22,효린,23,BLUE MOON (Prod. GroovyRoom),https://www.youtube.com/embed/tBEMatD4op8
23,에일리,24,첫눈처럼 너에게 가겠다,https://www.youtube.com/embed/6rS7OUGXUik
24,씨스타,25,LONELY,https://www.youtube.com/embed/KbXV2R_Yd1E
25,마크툽 (MAKTUB),26,Marry Me,https://www.youtube.com/embed/--knPjoSlNE
