,artist,rank,title,url
0,윤종신,1,좋니,https://www.youtube.com/embed/jy_UiIQn_d0
1,Wanna One (워너원),2,에너제틱 (Energetic),https://www.youtube.com/embed/EVaV7AwqBWg
2,헤이즈 (Heize),3,비도 오고 그래서 (Feat. 신용재),https://www.youtube.com/embed/afxLaQiLu-o
3,넉살,4,N분의1 (Feat. 다이나믹듀오),https://www.youtube.com/embed/D7aXRBRMQXg
4,행주,5,"요즘것들 (Feat. ZICO, DEAN)",https://www.youtube.com/embed/sF8Uk3YyT54
5,황치열,6,매일 듣는 노래 (A Daily Song),https://www.youtube.com/embed/gSQmYh-kpHY
6,Red Velvet (레드벨벳),7,빨간 맛 (Red Flavor),https://www.youtube.com/embed/WyiIGEHQP8o
7,BLACKPINK,8,마지막처럼,https://www.youtube.com/embed/Amq-qlqbjYA
8,Wanna One (워너원),9,활활 (Burn It Up),https://www.youtube.com/embed/XwGqz8BhHho
9,헤이즈 (Heize),10,널 너무 모르고,https://www.youtube.com/embed/vvkWaI91mLM
10,EXO,11,Ko Ko Bop,https://www.youtube.com/embed/IdssuxDdqKk
11,넉살,12,"부르는게 값이야 (Feat. 개코, 던밀스)",https://www.youtube.com/embed/zCefNdF6qZo
12,지코 (ZICO),13,Artist,https://www.youtube.com/embed/obzb7nlpXZ0
13,아이유,14,밤편지,https://www.youtube.com/embed/BzYnNdJhZQw
14,볼빨간사춘기,15,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
15,행주,16,SEARCH (Feat. 카더가든),https://www.youtube.com/embed/LzSkjiwVaUs
16,여자친구 (GFRIEND),17,귀를 기울이면 (LOVE WHISPER),https://www.youtube.com/embed/lnXXfYA91Y8
17,Ed Sheeran,18,Shape of You,https://www.youtube.com/embed/JGwWNGJdvx8
18,킬라그램 (Killagramz),19,"어디 (Feat. DEAN, ZICO)",https://www.youtube.com/embed/MQJMCgijbbI
19,WINNER,20,LOVE ME LOVE ME,https://www.youtube.com/embed/_5B6ymkU5ag
20,Wanna One (워너원),21,Wanna Be (My Baby),https://www.youtube.com/embed/1LSvgHucVgc
21,마마무,22,나로 말할 것 같으면 (Yes I am),https://www.youtube.com/embed/Ue9NG1hAr78
22,우원재,23,"또 (Feat. Tiger JK, Bizzy, 마샬(MRSHLL))",https://www.youtube.com/embed/bd2q2wH2UQg
