,artist,rank,title,url
0,넉살,1,N분의1 (Feat. 다이나믹듀오),https://www.youtube.com/embed/D7aXRBRMQXg
1,헤이즈 (Heize),2,비도 오고 그래서 (Feat. 신용재),https://www.youtube.com/embed/afxLaQiLu-o
2,Wanna One (워너원),3,에너제틱 (Energetic),https://www.youtube.com/embed/EVaV7AwqBWg
3,행주,4,"요즘것들 (Feat. ZICO, DEAN)",https://www.youtube.com/embed/sF8Uk3YyT54
4,Red Velvet (레드벨벳),5,빨간 맛 (Red Flavor),https://www.youtube.com/embed/WyiIGEHQP8o
5,황치열,6,매일 듣는 노래 (A Daily Song),https://www.youtube.com/embed/gSQmYh-kpHY
6,BLACKPINK,7,마지막처럼,https://www.youtube.com/embed/Amq-qlqbjYA
7,헤이즈 (Heize),8,널 너무 모르고,https://www.youtube.com/embed/vvkWaI91mLM
8,지코 (ZICO),9,Artist,https://www.youtube.com/embed/obzb7nlpXZ0
9,윤종신,10,좋니,https://www.youtube.com/embed/jy_UiIQn_d0
10,EXO,11,Ko Ko Bop,https://www.youtube.com/embed/IdssuxDdqKk
11,볼빨간사춘기,12,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
12,WINNER,13,LOVE ME LOVE ME,https://www.youtube.com/embed/_5B6ymkU5ag
13,Wanna One (워너원),14,활활 (Burn It Up),https://www.youtube.com/embed/XwGqz8BhHho
14,여자친구 (GFRIEND),15,귀를 기울이면 (LOVE WHISPER),https://www.youtube.com/embed/lnXXfYA91Y8
15,마마무,16,나로 말할 것 같으면 (Yes I am),https://www.youtube.com/embed/Ue9NG1hAr78
16,아이유,17,밤편지,https://www.youtube.com/embed/BzYnNdJhZQw
17,Ed Sheeran,18,Shape of You,https://www.youtube.com/embed/JGwWNGJdvx8
18,볼빨간사춘기,19,처음부터 너와 나,https://www.youtube.com/embed/jYcGHGiFkMo
19,G-DRAGON,20,"무제(無題) (Untitled, 2014)",https://www.youtube.com/embed/9kaCAbIXuyg
20,Wanna One (워너원),21,Wanna Be (My Baby),https://www.youtube.com/embed/1LSvgHucVgc
21,Apink (에이핑크),22,FIVE,https://www.youtube.com/embed/b22Ed7f0D-0
22,싸이 (PSY),23,New Face,https://www.youtube.com/embed/OwJPPaEyqhI
23,지코 (ZICO),24,FANXY CHILD (Feat. FANXY CHILD),https://www.youtube.com/embed/SYTY5VlIhQE
24,버즈,25,사랑하지 않은 것처럼,https://www.youtube.com/embed/gszuEGmVWlQ
25,Ja Mezz,26,"도박 (Life Is a Gamble) (Feat. 박재범, Dok2)",https://www.youtube.com/embed/mVlIEcSPyBg
26,아이유,27,팔레트 (Feat. G-DRAGON),https://www.youtube.com/embed/d9IxdwEFk1c
27,수란 (SURAN),28,오늘 취하면 (Feat. 창모) (Prod. SUGA),https://www.youtube.com/embed/a3JqIwCx8Cs
28,Wanna One (워너원),29,이 자리에 (Acoustic Ver.),https://www.youtube.com/embed/jM7h2hTOX1g
29,WINNER,30,REALLY REALLY,https://www.youtube.com/embed/4tBnF46ybZk
30,악동뮤지션,31,DINOSAUR,https://www.youtube.com/embed/8Oz7DG76ibY
31,청하,32,Why Don`t You Know (Feat. 넉살),https://www.youtube.com/embed/EHgeGRU3wDI
32,TWICE (트와이스),33,SIGNAL,https://www.youtube.com/embed/VQtonf1fv_s
33,에일리,34,첫눈처럼 너에게 가겠다,https://www.youtube.com/embed/6rS7OUGXUik
34,한동근,35,미치고 싶다,https://www.youtube.com/embed/KK-1xrOsqXI
35,싸이 (PSY),36,I LUV IT,https://www.youtube.com/embed/Xvjnoagk6GU
36,소녀시대,37,Holiday,https://www.youtube.com/embed/YwN-CN9EjTg
37,마크툽 (MAKTUB),38,Marry Me,https://www.youtube.com/embed/--knPjoSlNE
38,효린,39,BLUE MOON (Prod. GroovyRoom),https://www.youtube.com/embed/tBEMatD4op8
39,박원,40,all of my life,https://www.youtube.com/embed/CbNmRJCkwQs
40,아이유,41,사랑이 잘 (With 오혁),https://www.youtube.com/embed/dMn509ddAkc
41,EXO,42,전야 (前夜) (The Eve),https://www.youtube.com/embed/4huaN2Ce6U8
42,BLACKPINK,43,불장난,https://www.youtube.com/embed/9pdj4iJD08s
43,볼빨간사춘기,44,좋다고 말해,https://www.youtube.com/embed/y5MAgMVwfFs
44,DEAN,45,D (half moon) (Feat. 개코),https://www.youtube.com/embed/eelfrHtmk68
45,헤이즈 (Heize),46,돌아오지마 (Feat. 용준형 Of 비스트),https://www.youtube.com/embed/eEx9Y8PE-Fc
46,국민의 아들,47,NEVER,https://www.youtube.com/embed/_gBWCYKEe2U
47,The Chainsmokers,48,Closer (Feat. Halsey),https://www.youtube.com/embed/PT2_F-1esPk
48,양홍원 (Young B),49,아침에 (Feat. Bryn),https://www.youtube.com/embed/OJ6alJj1hQw
49,Wanna One (워너원),50,To Be One (Intro.),https://www.youtube.com/embed/lIj0iP32uXY
50,볼빨간사춘기,51,우주를 줄게,https://www.youtube.com/embed/9U8uA702xrE
51,볼빨간사춘기,52,나만 안되는 연애,https://www.youtube.com/embed/iLlLLBuuvVU
52,창모 (CHANGMO),53,아름다워,https://www.youtube.com/embed/ywwU5ka1fBs
53,매니악,54,"젓가락 (Feat. Tiger JK, Bizzy, Ann One)",https://www.youtube.com/embed/z7d1fDUyuzQ
54,박재범,55,"All I Wanna Do (K) (Feat. Hoody, Loco)",https://www.youtube.com/embed/lT7Q93fy1us
55,씨스타,56,LONELY,https://www.youtube.com/embed/KbXV2R_Yd1E
56,TWICE (트와이스),57,KNOCK KNOCK,https://www.youtube.com/embed/8A2t_tAjMz8
57,언니쓰,58,맞지?,https://www.youtube.com/embed/Nv5_uvyqI9s
58,Justin Bieber,59,Love Yourself,https://www.youtube.com/embed/oyEuk8j8imI
